id,Q01,Q02,Q03,Q04,Q05,Q06->Problem Understanding,Q06->Conceptual Understanding,Q06->Code Generation,Q06->Debugging,Q06->Runtime Analysis,Q06->Syntax,Q06->Documentation,Q06->Test Cases,Q6Add,Q7->1: Very Difficult ... 5: Very Easy,Q8->1: Not helped at all ... 5: Helped very well,Q9->1: Inadequate ... 5: Highly Adequate,Q10->1: Very Dissatisfied ... 5: Very Satisfied,Q11->1: Unlikely ... 5: Very Likely,Q12,Q13,Q14
142,3 : Moderate (1-2 Years),2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,0,0,0,0,1,1,,3,3,2,5,5,1. Chatgpt kann den Code gut Kommentieren.  2. Chatgpt ist im Stande eine gute Dokumentation zu schreiben.  3. Chatgpt kann sinnvolle Testfälle generieren. ,"1. Die Lösung des Problems von Chatgpt ist oftmals falsch.  2. Chatgpt kann die Aufgabe nur richtig lösen, wenn man diese sehr genau erklärt.  3. Man muss selbst beurteilen können ob die Lösung stimmt oder nicht. Man sollte Chatgpt nur nutzen wenn man bereits bescheidene Programmierkentnisse besitzt. ",
143,3 : Moderate (1-2 Years),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,1,0,,2,3,2,3,2,1. Gibt das aus was man will aber manchmal 2. Gibt ganz gute Erklärungen 3. Ist schnell man hat es schnell vor sich ,1. Gibt manchmal falsche Antworten 2. Gibt mir manchmal viel zu viele Antworten also wenn wir wieder die Frage eingeben kommt was neues 3. manchmal sehr kompliziert. Man versteht meistens nicht die Antwort ,Nein
144,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,0,0,1,1,0,0,1,,5,3,3,3,4,"- sehr hilfreich, wenn man insbesondere in neue Themen einsteigen will (neue Themen kurz zusammengefasst)  - hilfreich, wenn man bereits eine Lösung zu einem großen Problem gefunden hat und nach Lösungsvorschlägen für kleinere (detailliert beschriebene) Probleme, die bei dem großen Problem auftauchen, sucht   - als Übersetzer hilfreich ","- Antworten sind oft falsch, da Probleme (v.a. Textaufgaben) falsch verstanden werden   - auch eigens geschriebene Prompts werden oft falsch verstanden (bzw. Anweisungen werden oft ""ignoriert"")  - man kann ChatGPT fälschlicherweise korrigieren und ChatGPT akzeptiert dann diese falsche Antwort und erfindet auch eine (falsche) Begründung für diese falsche Antwort",
145,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,3 : Messaging App Integration (e.g. Chat Bots like MyAI),1,1,0,1,0,0,0,0,,5,3,2,3,4,Wenn ich ein Konzept nicht verstehe kann Chatgpt es mir einfach und mit Beispielen erklären.  Es hilft mir auch Aufgabenstellungen besser zu verstehen.  Wenn ich bei meinem Code nicht weiterkomme kann Chat GPT helfen.,Oft gibt Chat GPT fehlerhafte Antworten.  Man muss ihn mehrere Male fragen um eine gute Antwort zu kriegen.  Er kann oft nicht konkret helfen sondern lenkt durch seine Antworten zur richtigen Lösung.,Ich finde es ist ein sehr hilfreiches Tool auch wenn es nicht immer perfekt funktioniert.
146,2 : Limited (<1 Year),2 : No,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,2,2,2,2,2,einfach  schnell  Vielseitigkeit,Begrenzte Fachkenntnisse  Keine eigene Erfahrung  Begrenzte Kontextsensibilität ,
147,2 : Limited (<1 Year),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,5,3,3,5,3,"Es ist sehr easy ChatGPT zu verwenden, es ist sehr benutzerfreundlich und man kriegt sehr schnell eine Antwort.",Man muss sehr detailliert das Problem beschreiben und die Lösung ist nicht immer richtig. ,Das war’s :)
148,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,0,1,0,1,0,1,Verständnisfragen,4,4,2,4,5,"Besonderen Nutzen habe ich in ChatGPT für die Behebung von Fehlermeldung gefunden. Gibt man den geschriebenen Code, mit der dazugehörigen Fehlermeldung an, so verbessert ChatGPT ziemlich akkurat den Fehler. Akkurat jetzt im Anfänger Sinne gemeint. Weiteres fand ich ChatGPT für das Erklären von undeutlichen Aufgabenstellungen gut und außerdem für das Liefern eines ersten Lösungsansatzes.","Negativ zu bewerten ist auf jeden Fall die Häufigkeit an Fehlerhaften Antworten, sodass an sich nie 100 prozentig sicher sein kann, dass alles richtig ist. Außerdem arbeitet der Bot nicht mehr so effizient, wenn der Prompt länger wird. Je länger desto komischer ist es dies zu handhaben. Zuletzt kommt es zu Laufzeitproblemen, wenn man viel zu lange auf einem Chat gearbeitet hat.",
149,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,4,2,3,4,3,Die Möglichkeit bei Verständnissproblemen ChatGPT zum umformulieren zu bringen.  Die schnellen und variablen antworten.  Errinerung an vorherige Prompts sehr hilfreich.,Kompliziertere mathematische Konzepte kann er meist nicht richtig erklären oder liefert falsche Lösungen.  Schwer ihn für rekursive Programme als Unterstützung zu nutzen wenn das Programm noch nicht die gewollten Ergebnisse liefert.  Erklärt manche Sachen zu simpel.,Nein
150,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,0,0,0,1,0,1,0,0,,4,3,3,4,5,,,
151,1 : None,2 : No,5 : Rarely,3 : 30-60 minutes,3 : Messaging App Integration (e.g. Chat Bots like MyAI),1,1,1,1,1,1,0,0,,3,4,2,3,5,,,
152,2 : Limited (<1 Year),1 : Yes,2 : Daily,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,0,1,1,,4,4,3,4,5,"- Wenn mein code eine Fehlermeldung ausgegeben hat, habe ich Chatgpt gefragt und er hat mir geholfen den Fehler zu finden und zu korrigieren.     - Ich kann mit dem Code gut arbeiten, den mir Chatgpt ausgegeben hat    - Chatgpt beantwortet genau die Frage, die ich stelle, ohne abzuweichen.","- Manchmal gibt Chatgpt etwas falsches raus, was mich dann sehr verwirrt    - Wenn du Chatgpt sagst dass er falsch liegt und den Code verbessern soll, dann gibt er erst recht etwas noch falscheres zurück    - Manchmal spackt es rum und hört mittendrin auf","Es ist schön mit Chatgpt zu arbeiten, weil man direkt die Frage die man stellen möchte beantwortet kriegt, ohne besonders viel im Internet nachzugucken."
153,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,0,0,1,0,0,0,0,,4,2,3,3,2,"1. Einfache, unkomplexe Erklärungen  2. Entschlüsselung von Problemstellungen   3. Anpassungsfähigkeit",1. Ungenauigkeit  2. Verschiedene Antworten  3. Unzuverlässigkeit ,
154,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,0,0,1,0,1,0,1,1,,3,3,3,2,2,Text antworten von ChatGPT sehr präzise und verständlich  Teils sehr guter generierter Code von ChatGPT   Schnelle Antworten zu Fragen,"Falsche Ausgaben  Man muss bei komplexeren Programmen sehr präzise werden mit den Prompts  Wenn auf einen Code-Fehler zu ungenau hingewiesen wird(also man nicht erklärt wie chatgpt den Fehler beheben soll, so wird dieser auch meistens nicht behoben)",
155,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,0,0,0,1,0,0,,5,4,3,4,3,- Chat gpt is mostly relevant when you have no idea about the problem. I usually give you the idea to understand the problem.  - It is so good for giving theoretical input  - to understand the steps of a certain process chat gpt is good,- chat gpt makes mistakes on most mathematical problems.  - chat gpt is not accurate even if you tell the bot it is not correct.  - sources mostly not disclosed. ,- overall its good to have such a technology and will be helpful when it runs under a regulated environment. 
156,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,0,0,1,0,1,0,0,,3,4,3,3,2,"- manchmal werden Inhalte, die man nicht versteht sehr verständlich erklärt.   - nach Verbesserung von Seiten des Nutzers kommt tatsächlich was nützliches raus.   - man kann die kostenlose Version unbegrenzt lang nutzen.","- manchmal werden die Inhalte gar nicht gut erklärt bzw. es werden seltsame Begriffe und/oder Erklärungen verwendet.   - öfters mal nutzt es nichts, wenn man die KI verbessert: es kommt immer noch etwas fehlerhaftes raus.  ",
157,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,3,4,2,3,4,Die Erklärungsformate als auch die unterschiedlichen Beispiele dienen als große Hilfe und vorallem das man sich das in eigenem Tempo erklären lassen kann und jede mögliche Frage stellen kann.,"Sehr ungenau, teilweise falsche Ergebnisse man muss aufjedenfall stark darauf achten wie man ChatGPT benutzt und was man fragt um die genaue Antwort zu bekommen.",
158,1 : None,1 : Yes,2 : Daily,3 : 30-60 minutes,1 : Web Interface,1,1,1,1,1,1,1,1,"Die Profs sind härter zu uns als in den letzten Jahr, daher müssen wir uns mit ChatGPT helfe, wenn wir noch ein Leben außerhalb der Uni haben möchten",5,5,2,4,4,"""dumme"" Fehler werden schnell entdeckt. Zum Beispiel wenn man eine eine Variabel sich verschrieben hat, etc.    fleißaufgaben gehen schnell, also wenn man z.b. mehrere Testcases machen muss, wird es schnell von ChatGPT erledigt.    Bei ChatGPT gibt es keine dummen Fragen, es ist so ein safe space, man kann jede Frage stellen und solange man allgemeine Fragen stellt, sind sie in der Regel korrekt","Manchmal erzählt er einfach nur müll, sehr oft sogar, vorallem wenn man sehr direkte fragen stellt. z.B. ein bestimmten Mathebeweis erfragt.    Er sieht oft seine eigenen Fehler nicht ein.    Wenn man seine Fehler erzählt und es ihm sagt und er akzeptiert es, ändert er manchmal gar nichts an seine aussage ",Nö
159,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,1,1,1,,5,4,2,4,5,,,
160,1 : None,1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,-,4,3,4,3,4,"- Wenn man bei einer Aufgabe keine Ahnung hat, wie man vorgehen sollte, kann man ChatGPT nach Tipps für die Vorgehensweise fragen. Es kann bei der Verständnis von Aufgaben helfen.  - ChatGPT bietet Unterstützung für verschiedene Sprachen.   - ChatGPT kann für eine Vielzahl von Aufgaben eingesetzt werden, vom einfachen Schreiben von Texten bis hin zur Programmierung. ","- Es sind nicht immer alle Antworten von ChatGPT korrekt.  - ChatGPT hat Einschränkungen und präsentiert nicht immer das gesamte Bild.  - Die Fragen an ChatGPT sollten sehr spezifisch formuliert sein, sonst können Missverständnisse auftreten.  ",nope
161,1 : None,1 : Yes,5 : Rarely,2 : 15-30 minutes,1 : Web Interface,1,1,0,0,0,0,0,1,,4,4,3,3,2,"Schnell, verständlich, akkurat","Teilweise falscher Code, komplizierte Lösungen, Übungsaufgaben gestaltet er sehr kompliziert",
162,3 : Moderate (1-2 Years),2 : No,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,5,3,3,4,5,"ChatGPT liefert besonders bei Code gute Ergebnisse.  ChatGPT ist einfach zu nutzen, da die Eingabe einfach gestaltet ist.  ChatGPT hat mir immer ein Ergebnis geliefert.","ChatGPT liefert oft falsche Antworten, die er aber als richtig verkauft.  ChatGPT hat keinen Zugriff auf echtzeit Informationen, was manchmal schade ist.  ChatGPT versteht ab und zu meine Anfragen falsch.","Durch die Verwendung von GPT konnte ich gute Erfahrung sammeln.  Es hat mir einen Einblick in die künstliche Intelligenz gegeben und ich bin beeindruckt, wie fortgeschritten sie doch ist, trotz ihrer Fehler."
163,2 : Limited (<1 Year),2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,4,4,3,4,3,1. Wenn man sich nicht sicher ist z.b bei der Aufgabe 2 und gucken ob der Code richtig.  2. Wenn man eine Frage nicht versteht.  3. Gibt dir gute Ideen als Inspiration .,1. Du musst mehrmals die selbe Frage stellen bis ChatGPT es versteht.  2. Geht nicht auf deine Problemstelllung frage ein.  3. Manchmal braucht es sehr lange bis man eine klare Antwort kriegt .,
164,1 : None,1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,0,0,1,Keine weiteren.,4,3,2,3,2,"1. Vielseitige Anwendbarkeit.  2. Natürliches Sprachverständnis.  3. Kreativität und Problemlösung.  Besonders nützlich waren Hinweise zum Verstehen, mit welcher Rechenmethode man Probleme lösen kann.","1. Fehlerhafte Angaben ohne existierenden Quellen.  2. Mangel an Kontextverständnis.  3. Neigung zu Fehlern und Unsicherheiten.  Als ein Tool zur Kontrolle der Richtigkeit von Angaben würde ich ChatGPT nicht benutzen, da die meisten Ausgaben selbst während der einfachen Rechnungen Fehler ausgeben.",Nein.
165,2 : Limited (<1 Year),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,0,1,1,0,1,1,0,"Vor allem benutze ich es, um auf Fehler in meinem Code aufmerksam zu werden und Ideen zu kriegen, wie man Ausdrücke noch formulieren kann.",4,4,3,4,4,"- sehr schnelle Antworten  - oft sehr präzise, besonders im Zusammenhang mit Code  - wenn man sich unsicher ist, kann man nachfragen und Ideen kriegen","- Antworten sind teilweise falsch  - Code ist teilweise zu komplex oder benutzt neue Funktionen etc.  - teilweise schwierig einen Fehler zu finden bei mehreren Modulen, da er den Überblick verlieren kann","- ChatGPT ist bei Code sehr gut, bei anderen Themen eher mittel  - aber sehr häufig liefert er Denkansätze, die man dann weiter ausbauen kann"
166,2 : Limited (<1 Year),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,1,1,1,1,,3,3,2,3,4,"ChatGPT ist ein wertvolles Werkzeug für die Informationsbeschaffung. Es kann auf eine riesige Menge an Informationen zugreifen und diese schnell und effizient verarbeiten. Dies macht es zu einem hilfreichen Hilfsmittel für die Forschung, das Lernen und die allgemeine Wissenserweiterung.  ChatGPT kann kreative Inhalte generieren. Es kann Gedichte, Geschichten, Codes, Skripte, Musikstücke, E-Mails, Briefe usw. erstellen. Dies macht es zu einem vielseitigen Werkzeug für die kreative Arbeit.  ChatGPT kann als Gesprächspartner genutzt werden. Es kann Gespräche führen, Fragen beantworten und sogar Geschichten erzählen. Dies macht es zu einem interessanten und unterhaltsamen Begleiter.","ChatGPT kann manchmal ungenaue oder irreführende Informationen liefern. Dies liegt daran, dass ChatGPT auf einem riesigen Datensatz von Text und Code trainiert wird, der auch ungenaue oder irreführende Informationen enthalten kann.  ChatGPT kann manchmal voreingenommene oder diskriminierende Aussagen treffen. Dies liegt daran, dass ChatGPT auf einem Datensatz trainiert wird, der von Menschen erstellt wurde, die selbst Vorurteile haben.  ChatGPT kann manchmal schwer zu verstehen oder zu interpretieren sein. Dies liegt daran, dass ChatGPT Texte in einem natürlichen Sprachstil generiert, der oft komplex und nuanciert ist.",Eigentlich nicht. 
167,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,4 : More than 60 minutes,1 : Web Interface,1,1,1,1,0,0,0,0,,2,4,3,3,5,"- gut Fehler finden (sowohl Logik als auch Syntax)  - Methoden zusammenstellen (z.B ich möchte Elemente in einen Dictionary hinzufügen und ChatGPT sagt mir, wie dies funktioniert)  - Prinzipien erklären (zB. was ist linear-rekursiv?)","- Falsche Lösungen von ChatGPT werden kaum von ChatGPT selbst gelöst  -Hin und Her manchmal, ohne Ergebnis am Ende  - Falls man keine Ahnung in dem gefragten Themengebiet hat, kann man ChatGPT nicht korrigieren und lernt meistens falsche Aussagen",
168,4 : Advanced (3+ Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,0,1,0,0,0,1,"Verbesserung von geschriebenem Code, sprich Optimierungen ",4,3,2,3,5,Verständnis von gegeben Code  Fehleranalyse   Optimierung von Code  ,"Falsche Respons  Unnötige Änderungen am Code  Bei komplexen Fragestellungen, oftmals Antworten die am Zeil vorbeigehen     ",
169,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,,3,3,2,4,3,Hilfe beim Verständnis von Konzepten zb Rekursion  Hilfe beim finden von Fehlern   einfache Kommunikation,oft falsche Antworten  manchmal nicht hilfreich  es ist verlockend chat gpt zu nutzen statt selbst zu denken     ,tolle KI
170,1 : None,1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,3,3,3,3,3,Schneller Zugriff auf umfassende Informationen.  Unterstützung bei Ideenentwicklung und kreativem Schreiben.  Bereitstellung von Codebeispielen und Fehlerbehebungshilfe.,"Informationen können veraltet oder ungenau sein.  Es kann Schwierigkeiten haben, auf hochspezialisierte oder aktuelle Themen präzise zu antworten.  Es könnte falsche oder nicht überprüfte Informationen weitergeben, ohne die Richtigkeit zu überprüfen.  ",Nein
171,2 : Limited (<1 Year),1 : Yes,4 : Montly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,0,0,,5,3,3,4,3,Fehlermeldungen identifizieren  Programmierkonzepte erklären  Geschichtshausaufgaben machen,"ChatGPT kann nicht rechnen  Teilweise sind die ""Fakten"" von ChatGPT komplett gelogen  Quellen werden nicht angegeben und unwissenschaftliche Quellen sind mitverwendet",Ist super
172,1 : None,1 : Yes,2 : Daily,3 : 30-60 minutes,1 : Web Interface,1,0,1,1,0,1,0,0,,3,3,3,3,3,- schnell  -verschiedene Wege  -neue Gedanken bringen ,-man denkt nicht mehr  über code  - akzeptiert was ChatGPT zeigt  - Die code werden lang und manchmal unverständlich ist,man kann es benutzen aber nur beim helfen und nicht mehr.
173,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,1,1,1,0,1,1,1,Recherche  ,5,4,3,4,5,"Chat GPT kann schnell simple Programmierprobleme lösen und Funktionen dafür schreiben  Man kann viel Zeit sparen da er Texte gut zusammenfassen kann oder Fehler in einem Code findet  Man kann viele verschiedene Beispiele nach einem vorgegebenen Schema erzeugen lassen, was z.b. für Test cases toll ist",Er schreibt oft kompletten Quatsch  Er vermischt neue mit vorherigen Anfragen  Er versucht Probleme oft zu verschlimmbessern anstatt einen neuen Ansatz zu wählen,Für schnelle Antworten auf Fragen und Probleme ist es immer lohnenswert erstmal Chatgpt zu fragen bevor man selbst recherchiert.
174,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,1,1,,4,4,4,5,5,,"Chat Gpt gibt manchmal falsche Antworten aus. Außerdem weißt chat GPT einen nicht darauf hin, dass die Antwort falsch sein könnte.",
175,2 : Limited (<1 Year),1 : Yes,2 : Daily,3 : 30-60 minutes,1 : Web Interface,1,1,1,1,0,1,0,0,"- Orientierung  - einen Überblick darüber haben, was von mir verlangt wird.  - Manchmal meinen Code durchgehen und wenn möglich Verbesserungen vornehmen.",3,4,2,2,4,- Codeschema  - Erklärung einiger Codes mit Details   - Verbesserungsvorschlag ,"- einige Male falsche Antworten  - mangelnde Genauigkeit  - Manchmal helfe ich ihr, indem ich ihr eine Anleitung gebe, und das ist eine echte Zeitverschwendung.","Ich empfehle, diese künstliche Intelligenz in Maßen zu nutzen. Es stimmt zwar, dass man aufgrund mangelnder Erfahrung manchmal ein paar Tricks anwendet, um zu verstehen, was man will, aber man sollte sich nicht von ihnen abhängig machen. Ich betrachte es als Suchmaschine und nicht als Hilfe, vor allem, weil es nicht effizient ist."
176,4 : Advanced (3+ Years),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,0,0,1,1,,5,5,3,3,3,1. Gute Erklärungen  2. Schnell generierte Antworten  3. Zeitlich effizient ,"1. Manchmal versteht ChatGPT die Aufgabe nicht  2. Manchmal generiert ChatGPT Codes, die etwas Falsches ausgeben.  3. Die gegebenen Testfälle sind manchmal nicht relevant.",
177,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,1) Code Reviewing / Verbesserungsvorschläge zu eigner Leistung  2) Lösungsvergleiche  ,5,5,4,4,5,"Besonders nützlich sind die Abnahme der Fehlersuche/Debugging, ein code review für den letzten Schliff des fertigen Codes und auch schnelle, einfache Erklärungen zu spezifischen oder Verständnis-Fragen.  Es spart enorm Zeit und schont die Nerven :)  ","Nicht immer gibt er korrekte Antworten aus.  Man muss seine Angaben also mit Vorsicht genießen.    Komplexere Aufgabenstellungen aus anderen Fachbereichen (z.B. Lineare Algebra für die Informatik) kann er manchmal selber nicht richtig verstehen und nicht ordentlich verarbeiten. Dann spuckt er bloß rote Fehlermeldungen aus.    Ein Testzeitraum für die Premium Version wäre toll, damit ich GPT-4 testen kann. Sicherlich wäre ich dann auch bereit Geld in die Hand zu nehmen, wenn sich herausstellt, dass es sich auf Dauer lohnt.  ","Er ist zwar nicht allwissend oder perfekt, aber auf alle Fälle ein mächtiges, sehr nützliches Tool. "
178,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,0,0,0,0,1,0,,3,3,2,2,2,-Vorgehensweisen/Konzepte verstehen  ,-Problemverständnis  -Code fehlerhaft,"Hilfreich zum Verständnis und finden von Ansätzen, bei weitem nicht ausgereift um komplette Probleme zu lösen."
179,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,1,1,0,0,0,0,1,,5,4,3,4,5,- Geschwindigkeit der Antworten  - Genauigkeit bei Kommentaren und Docstrings  - Flexibilität bei Anpassung des Codes,"- Unstrukturierte und ungenaue Dokumentation von Programmen  - Probleme bei komplexen Aufgabestellungen (Missverständnisse, wenn Formulierungen in einem langen Text)  - Wiederholung von Fehlern trotz Hinweisen für Anpassung (teilweise auch keine Anpassung im Code, obwohl man darauf hingewiesen hat)","Ich war anfangs überrascht, wie schnell und qualitativ hochwertige die Rückmeldungen von ChatGPT waren. Erst mit der Zeit sind dann auch einige negative Aspekte aufgefallen (wie bspw. bei Aufgabe 2 vom Übungsblatt 07)."
180,2 : Limited (<1 Year),2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,0,0,0,0,0,0,,1,1,1,1,1,,,
181,4 : Advanced (3+ Years),2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,0,,5,2,2,1,2,Es ist schnell und einfach.  Man kann viel Code generieren.  Es ist kostenfrei.,Antworten sehr oft falsch.  Mehr Zeitaufwand durch Korrektur der Antworten.  Telefonnummer zur Anmeldung erforderlich.,
182,1 : None,1 : Yes,3 : Weekly,4 : More than 60 minutes,1 : Web Interface,1,1,0,0,0,1,0,1,"ich habe es noch oft benutzt um die aufgaben überhaut zu verstehen, also das er mir ausgibt was von mir genau verlangt wird.",5,3,3,4,4,1. gut um Aufgaben zu erläutern    2. Überprüfung des Wissens (auch Überprüfung ob man das verstanden hat was chatgpt macht)    3. aauch gut um nicht nur bei codeing fragen zu helfen sondern auch bei theoretischen fragen wie z.b. die 7 Eigenschaften eines Algorithmus und diese dann jeweils nochmal aufgeteilt und genauer erklärt     ,1. es wird oft nicht ganz genau verstanden was er von einem möchte     2. bei Mathe ist er sehr schlecht    3. verleitet oft dazu code zu kopieren ohne ihn zu verstehen für viele,"es ist eine gute Möglichkeit schnell Informationen zu einem Thema zu bekommen, welches man etwas kennt um auch sicher zu gehen das er kein Mist wiedergibt. also immer alles doppelt checken von den ausgaben.    "
183,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,0,1,1,0,1,0,0,,3,3,3,3,4,- Programmieren  - Hilfreich beim erstellen eines Codes  - Fragen bei Fehlern ,- ungenaue Ausgabe vorallem bei Matheaufgaben  - kann einiges vertauschen   - Aufgabenstellung wird falsch erkannt ,
184,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,0,0,0,0,0,1,1,1,,4,4,3,4,5,"Zeitersparnis durch schnelle Lieferung von Ergebnisse, die Möglichkeit, Rückfragen zu stellen und triviale Aufgaben delegieren können.","Falsche Informationen entdecken, oberflächliche Antworten, Missverständnisse.","Wenig überraschend aber erwähnenswert ist die Tatsache, dass ChatGPT besonders gut mit Themen umgehen kann, zu denen es besonders viele Daten gibt. Je weniger Daten desto wahrscheinlich ist es, dass die Antwort zu oberflächlich oder sogar falsch ist."
185,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,1,0,1,1,,5,5,4,4,5,"- Erklärung von Code oder Konzepten  - Anpasung von Code, der bisher nicht wie erwartet funktioniert hatte  - dass vorherig eingegebene Informationen gemerkt werden","- gelegentliche Generierung von Code, der eine Fehlermeldung, erzeugt  - gelegentliche Generierung von Code, der nicht so funktioniert wie er soll  - gelegentliche fehlerhafte bzw. wiedersprüchliche Erklärungen, manchmal immernoch nach erneuter Nachfrage/Hinweis auf Fehler",
186,1 : None,1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,1,1,0,0,,5,4,4,5,3,- einfacher Zugang  - man kann jede Frage von jedem Fach stellen.  -Chat GPT kann  die komplizierten Themen auch im einfacher Sprache formulieren und zum Verständnis bringen.,"-nicht 100 Prozent sicher und richtig.  -man kann Chat GPT einfach manipulieren.  -man neigt dazu jede Frage an Chat GPT zu stellen, was nicht gut ist.","- Es ist sehr hilfreicher Material für Studenten, die etwas von null anfangen wollen."
187,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,1,,4,3,2,3,3,"Zum einen um einen anderen Blickwinkel auf die gestellte Aufgabe zu bekommen. Außerdem kann es manchmal bei Problemen helfen, wenn man nicht weiterkommt. Zum Schluss ist ChatGPT hilfreich bei kreativen Engpässen. ","ChatGPT macht oft Fehler, die manchmal aber durch eine abgewandelte Fragestellung behoben werden können.   Außerdem gibt er manchmal Sachen wieder, die einem nicht weiterhelfen.   Zu guter Letzt kann ChatGPT die eigenen Fehler oftmals nicht erkenn und beheben, obwohl man die KI ausdrücklich darauf aufmerksam macht, wo das Problem besteht.",Nein :)
188,4 : Advanced (3+ Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,1,0,0,1,0,1,,4,3,2,4,1,1. Vereinfacht den Einstieg in Problemstellungen  2. Spart Zeit durch Codegenerierung  3. Gratis und sehr einfach zugänglich   ,1. Gibt sehr oft falsche Information  2. Generierter Code oft nicht sofort ausführbar (bugs vorhanden)  3. Prompts müssen sehr vorsichtig gewählt werden,
189,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,3,2,2,5,5,Einfache Eingabe  Ergänzungen/Abwandlungen sind im 2. Anlauf möglich  Gratis,Teilewiese auch nach mehrfacher Aufforderung unpräzise  Zeitersparnis ist bei fehlerhaftem Output nicht vorhanden  Eigene anpassungen sind manchmal nötig,Es ist wichtig die Eingabe präzise und verständlich zu formulieren
190,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,0,0,Codeoptimierung,3,3,2,3,3,"Korrektur von Programmen, Unterhaltung und Erkennen der Schwächen von KI bzw. LLM","Nervige und sehr lange Texte, macht Fehler, Selbstüberzeugung trotz Unwissenheit","Ich nutze häufig den Bing Copilot, Googles Bard generiert m. M. n. den besten Code."
